shapeid,partid,x,y
0,0,117.7036079,4.163414542
0,0,117.7036079,4.163414542
0,0,117.7380715,4.157241908
0,0,117.7835722,4.157241908
0,0,117.8525573,4.157241908
0,0,117.907039,4.156683015
0,0,117.91212,4.144924221
0,0,117.9182235,4.100043036
0,0,117.9348251,4.059881903
0,0,117.9013778,4.036688544
0,0,117.8870549,4.031927802
0,0,117.8725692,4.031561591
0,0,117.8385523,4.040187893
0,0,117.8191024,4.068670966
0,0,117.7627059,4.100734768
0,0,117.7394312,4.132310289
0,0,117.7036079,4.163414542
0,1,124.4505314,-9.180189711
0,1,124.4658309,-9.179375909
0,1,124.5178329,-9.177829685
0,1,124.563243,-9.170830988
0,1,124.60434,-9.15634531
0,1,124.6679794,-9.11305104
0,1,124.6711532,-9.107517185
0,1,124.6731877,-9.099297784
0,1,124.6836044,-9.074802342
0,1,124.6879989,-9.069512628
0,1,124.6915796,-9.067803644
0,1,124.7580673,-9.047946873
0,1,124.7673446,-9.0429013
0,1,124.788829,-9.018975519
0,1,124.8249618,-9.008070571
0,1,124.8403426,-9.001071873
0,1,124.8698837,-8.994398696
0,1,124.897146,-8.974541925
0,1,124.9192814,-8.962090753
0,1,124.9195072,-8.9620155
0,1,124.922483,-8.986323751
0,1,124.9091504,-9.020326843
0,1,124.9079102,-9.037483419
0,1,124.9129745,-9.052779642
0,1,124.9212944,-9.065492045
0,1,124.9330249,-9.074483744
0,1,124.9478561,-9.078514506
0,1,124.9658912,-9.077274272
0,1,124.9789136,-9.072003275
0,1,125.0044418,-9.05557017
0,1,125.0518291,-9.03500295
0,1,125.0653166,-9.023220724
0,1,125.0685722,-9.01588267
0,1,125.0730164,-8.996452332
0,1,125.0764787,-8.990767924
0,1,125.086814,-8.986220398
0,1,125.0915166,-8.988597514
0,1,125.0952889,-8.994798685
0,1,125.1025236,-9.001309916
0,1,125.1213339,-9.011851908
0,1,125.1394206,-9.024771016
0,1,125.1539934,-9.04079071
0,1,125.162365,-9.060634461
0,1,125.1620032,-9.082338562
0,1,125.1450017,-9.145177104
0,1,125.1469654,-9.154478862
0,1,125.1512028,-9.165020853
0,1,125.1526537,-9.170824419
0,1,125.15389,-9.175769551
0,1,125.1506344,-9.185381368
0,1,125.1425212,-9.189102071
0,1,125.1179232,-9.187551778
0,1,125.1069678,-9.188481954
0,1,125.0914649,-9.196750183
0,1,125.0825765,-9.205535177
0,1,125.0739466,-9.211322937
0,1,125.0596839,-9.210496114
0,1,125.0533794,-9.206672058
0,1,125.0414421,-9.193236186
0,1,125.0345175,-9.188171896
0,1,125.0276962,-9.186311544
0,1,125.0072323,-9.186104838
0,1,124.9744694,-9.191892599
0,1,124.957933,-9.211943054
0,1,124.9541089,-9.241501974
0,1,124.9601551,-9.27602183
0,1,124.9659945,-9.293385112
0,1,124.9728158,-9.304650573
0,1,124.9966903,-9.325837911
0,1,125.0178776,-9.338963725
0,1,125.023407,-9.345578308
0,1,125.0248023,-9.351986185
0,1,125.0227869,-9.367695821
0,1,125.0237688,-9.374723816
0,1,125.0462997,-9.409863789
0,1,125.0509308,-9.424696843
0,1,125.0616154,-9.485772394
0,1,125.0612899,-9.486016534
0,1,125.0307723,-9.507500909
0,1,125.0019637,-9.536309503
0,1,124.9865829,-9.577325128
0,1,124.9797469,-9.649021092
0,1,124.9707137,-9.662367446
0,1,124.8747665,-9.724704685
0,1,124.8469344,-9.748223566
0,1,124.7584742,-9.850762628
0,1,124.7478133,-9.886163019
0,1,124.7345484,-9.899509373
0,1,124.6784774,-9.930108331
0,1,124.6412867,-9.956638279
0,1,124.6080835,-9.986748956
0,1,124.5603133,-10.01523203
0,1,124.5407821,-10.03655364
0,1,124.5246688,-10.08342864
0,1,124.5100204,-10.09628672
0,1,124.4993596,-10.1119931
0,1,124.4519963,-10.14641692
0,1,124.4184676,-10.16383229
0,1,124.38087,-10.17050547
0,1,124.2719833,-10.16619232
0,1,124.196788,-10.17376067
0,1,124.1648055,-10.18059661
0,1,124.1536564,-10.17880625
0,1,124.1341252,-10.17213307
0,1,124.1224064,-10.17253997
0,1,124.1076766,-10.1843401
0,1,124.087413,-10.22568125
0,1,124.0781356,-10.23463307
0,1,124.0573837,-10.23894622
0,1,124.0485132,-10.24960703
0,1,124.0434676,-10.26311614
0,1,124.0338648,-10.27613698
0,1,124.019786,-10.28101979
0,1,123.9327906,-10.29485442
0,1,123.8263452,-10.36394622
0,1,123.799327,-10.37468841
0,1,123.7873641,-10.36834075
0,1,123.7781682,-10.35833099
0,1,123.7570907,-10.36044687
0,1,123.7190861,-10.37175872
0,1,123.6989852,-10.36736419
0,1,123.6787216,-10.356622
0,1,123.6588648,-10.34929778
0,1,123.6396591,-10.35507578
0,1,123.6174423,-10.36630625
0,1,123.6020614,-10.36142343
0,1,123.5744735,-10.33766042
0,1,123.5594182,-10.33375417
0,1,123.5364689,-10.3319638
0,1,123.5153915,-10.33554453
0,1,123.5022079,-10.35320403
0,1,123.4929305,-10.36077239
0,1,123.4816187,-10.36614349
0,1,123.4720158,-10.36492278
0,1,123.4685979,-10.3562151
0,1,123.4724227,-10.34514739
0,1,123.4856877,-10.32390716
0,1,123.4934188,-10.3019345
0,1,123.494965,-10.28215911
0,1,123.4925236,-10.2452125
0,1,123.4995223,-10.23072682
0,1,123.5153915,-10.21306732
0,1,123.5471298,-10.18678151
0,1,123.597911,-10.1666806
0,1,123.6123153,-10.15642669
0,1,123.6203719,-10.15300872
0,1,123.656993,-10.14641692
